"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LGALS17",5.28000393708768e-70,1.20732463595802,0.978,0.922,1.05600078741754e-66,"29","LGALS1"
"PCDH92",2.15892434848487e-69,1.26062116340128,0.827,0.689,4.31784869696974e-66,"29","PCDH9"
"SEMA3C6",3.30260062983017e-69,1.66036396915313,0.871,0.806,6.60520125966034e-66,"29","SEMA3C"
"CXCL93",1.94185456640667e-68,0.483124781627963,0.923,0.749,3.88370913281334e-65,"29","CXCL9"
"LTBP13",2.1169555863231e-68,0.643854661333453,0.923,0.734,4.23391117264621e-65,"29","LTBP1"
"PTPRZ1",9.44650954951067e-68,1.46808826748582,0.812,0.661,1.88930190990213e-64,"29","PTPRZ1"
"PHGDH",1.11824857600952e-67,0.33824901712228,0.835,0.47,2.23649715201904e-64,"29","PHGDH"
"PDLIM32",1.28372357646415e-65,0.953684692325716,0.886,0.821,2.5674471529283e-62,"29","PDLIM3"
"A2M6",1.65457397674357e-65,0.604286068660963,0.938,0.763,3.30914795348714e-62,"29","A2M"
"COL12A12",3.27520600129983e-65,1.31937140192679,0.857,0.783,6.55041200259965e-62,"29","COL12A1"
"FBN13",6.09679029264345e-65,0.329006571269262,0.886,0.82,1.21935805852869e-61,"29","FBN1"
"RARRES23",6.34256612649462e-64,1.04576807512641,0.864,0.752,1.26851322529892e-60,"29","RARRES2"
"HLA-DQA27",4.03791857775767e-63,0.253596327692562,0.945,0.851,8.07583715551533e-60,"29","HLA-DQA2"
"PLK22",2.10352189657933e-62,0.950580950510872,0.949,0.702,4.20704379315867e-59,"29","PLK2"
"CCDC802",4.75220353044902e-62,0.303400431248718,0.871,0.745,9.50440706089803e-59,"29","CCDC80"
"F2R5",5.18900077851705e-62,0.601090777182193,0.923,0.67,1.03780015570341e-58,"29","F2R"
"ACTA22",5.8098768701844e-62,0.428252096871314,0.864,0.601,1.16197537403688e-58,"29","ACTA2"
"NAV21",1.22192607785167e-61,0.695275719856621,0.853,0.65,2.44385215570334e-58,"29","NAV2"
"TUBB2A",2.64338124827719e-61,0.791381118267804,0.853,0.508,5.28676249655437e-58,"29","TUBB2A"
"PSAP4",2.92039823354796e-60,1.07819836093546,0.993,0.931,5.84079646709592e-57,"29","PSAP"
"SPARCL13",6.91809011516796e-59,0.644150790518092,0.849,0.817,1.38361802303359e-55,"29","SPARCL1"
"SOX44",1.50107341664942e-58,1.26531230459611,0.945,0.758,3.00214683329885e-55,"29","SOX4"
"CRLF1",2.36822134843163e-57,0.934003068368743,0.779,0.472,4.73644269686326e-54,"29","CRLF1"
"DEPP18",1.22144706602529e-56,1.28455398356495,0.96,0.889,2.44289413205057e-53,"29","DEPP1"
"AKAP124",1.93387833147551e-56,1.69805001925246,0.827,0.829,3.86775666295102e-53,"29","AKAP12"
"CALD13",1.08130924535521e-55,0.740805810126526,0.868,0.856,2.16261849071041e-52,"29","CALD1"
"THBS15",2.68000793532448e-55,0.597487425684602,0.934,0.853,5.36001587064896e-52,"29","THBS1"
"HLA-DRB57",4.14811959314146e-54,0.338619271147927,0.934,0.646,8.29623918628293e-51,"29","HLA-DRB5"
"DDR22",1.42171760637171e-53,0.708882043786453,0.809,0.681,2.84343521274342e-50,"29","DDR2"
"HEY12",2.18643587106235e-52,0.467966078576171,0.812,0.698,4.37287174212469e-49,"29","HEY1"
"HES48",4.19869405497677e-52,0.987925023935944,0.974,0.885,8.39738810995354e-49,"29","HES4"
"NID13",1.52148056097506e-51,0.770292390013053,0.801,0.59,3.04296112195013e-48,"29","NID1"
"ADIRF6",4.63592186788472e-50,0.812261237342169,0.923,0.75,9.27184373576944e-47,"29","ADIRF"
"FERMT23",5.03623227645026e-50,1.18716048980789,0.838,0.731,1.00724645529005e-46,"29","FERMT2"
"NRP27",6.78808650164431e-50,1.3352211280295,0.974,0.906,1.35761730032886e-46,"29","NRP2"
"RSPO32",1.99238803607439e-49,0.537834149811571,0.776,0.639,3.98477607214878e-46,"29","RSPO3"
"SERPINA38",2.98280445129984e-48,1.35187162231605,0.993,0.919,5.96560890259967e-45,"29","SERPINA3"
"TUBA1A11",4.03318381668295e-48,0.9654503422443,0.875,0.646,8.0663676333659e-45,"29","TUBA1A"
"COL6A13",4.3147222709768e-48,0.939304903999117,0.96,0.829,8.62944454195361e-45,"29","COL6A1"
"GBP16",9.12455483618121e-48,0.685284178764077,0.912,0.671,1.82491096723624e-44,"29","GBP1"
"SFRP11",1.25265991282517e-47,1.26539291890511,0.754,0.59,2.50531982565033e-44,"29","SFRP1"
"MT2A8",9.13592482886266e-47,0.93458389446397,0.919,0.851,1.82718496577253e-43,"29","MT2A"
"RELN",1.33684344136212e-45,0.601433658361242,0.743,0.507,2.67368688272424e-42,"29","RELN"
"TAGLN2",1.50626352511456e-45,0.412206309674275,0.868,0.703,3.01252705022911e-42,"29","TAGLN"
"FBLN11",1.61576651599483e-45,0.341920760932795,0.857,0.722,3.23153303198966e-42,"29","FBLN1"
"RHOB6",2.7613059003776e-45,1.39153756867404,0.897,0.885,5.52261180075519e-42,"29","RHOB"
"PTX31",4.0711596352411e-44,0.424258060574895,0.239,0.588,8.14231927048221e-41,"29","PTX3"
"PDLIM75",7.60791698094794e-44,0.666657843793694,0.93,0.749,1.52158339618959e-40,"29","PDLIM7"
"SFRP41",1.54706113434918e-43,0.361373742564134,0.794,0.814,3.09412226869836e-40,"29","SFRP4"
"CRISPLD22",2.0614382720657e-41,0.473601178367463,0.816,0.673,4.1228765441314e-38,"29","CRISPLD2"
"COL8A12",2.09210634038481e-41,1.48061912026003,0.761,0.626,4.18421268076962e-38,"29","COL8A1"
"GAL1",1.08933949887581e-40,0.291714041991974,0.206,0.462,2.17867899775161e-37,"29","GAL"
"TMEM176B5",1.69704155795878e-40,1.03120460633226,0.89,0.817,3.39408311591755e-37,"29","TMEM176B"
"APOD1",2.21465199743185e-40,0.489559093518484,0.809,0.781,4.4293039948637e-37,"29","APOD"
"PDGFA3",3.03468499130116e-40,1.00222050753218,0.79,0.652,6.06936998260233e-37,"29","PDGFA"
"FSTL33",1.11382589765668e-39,1.49127737127628,0.757,0.616,2.22765179531335e-36,"29","FSTL3"
